2903.4,1395.7,478.1,456.2
2684.7,1048.9,515.6,653.1
3115.9,1280.1,393.7,496.8
2819.0,1505.1,446.8,471.8
3428.4,561.4,403.1,431.2
3247.1,461.4,381.2,440.6
3547.1,508.3,384.3,371.8
2050.4,711.4,365.6,403.1
1534.8,742.6,431.2,475.0
1828.5,433.3,381.2,478.1
1978.5,123.9,503.1,437.5
1750.4,339.5,390.6,340.6
1191.0,583.3,503.1,418.7
159.9,573.9,434.3,465.6
359.8,498.9,381.2,409.3
297.4,764.5,365.6,387.5
4575.2,283.3,362.5,387.5
4818.9,177.0,312.5,384.3
4512.7,439.5,365.6,334.4
1412.9,839.5,375.0,303.1
1872.2,27.1,378.1,384.3
2781.5,1192.6,378.1,431.2
